num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
543,1.3347686206591558,0.0332420630660335,0.7746185338533921,904.9489111255436,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
574,1.3288870080975643,0.027360450504442024,0.6555098020141701,1335.8371341851064,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
606,1.3306520209832566,0.029125463390134332,0.7169834909676606,1178.8385035379088,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
641,1.2818982204582046,0.01962833713491774,0.4969498038787782,2595.5714138014814,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
678,1.3372836325290787,0.03575707493595637,0.931058204736662,782.1247527798172,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
716,1.3251063759999269,0.023579818406804565,0.6309529385351031,1798.5358030528917,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
757,1.305455850807006,0.003929293213883689,0.10810913137487052,64769.586377745596,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
800,1.3306721398003003,0.029145582207178,0.8243615528130219,1177.2115914181838,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
846,1.2698581667769078,0.03166839081621453,0.9211093216593086,997.1213337544199,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
894,1.3043426053616853,0.0028160477685630347,0.0841993573677198,126101.41651084101,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
946,1.3152677640549832,0.013741206461860944,0.4226398398826175,5296.027970306642,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1000,1.2839150609103498,0.01761149668277251,0.5569244252206103,3224.092322292599,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1057,1.31944396056021,0.01791740296708766,0.5825222990090996,3114.9413764924852,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1117,1.2995947874887623,0.0019317701043599644,0.06456275100413922,267971.8154548057,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1181,1.2857922030271196,0.015734354566002695,0.540721802752453,4039.263032504849,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1248,1.2877287573303116,0.013797800262810744,0.4874354896100001,5252.672121054777,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1319,1.3188642413694343,0.017337683776311952,0.6296706858679609,3326.7322235852484,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1395,1.2859248033630075,0.015601754230114784,0.5827208211522752,4108.214729754236,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1474,1.3033135643052478,0.001787006712125505,0.06860802625096928,313146.5508278318,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1558,1.295889730310137,0.005636827282985202,0.22249407720828315,31472.449418313354,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1647,1.299536481670019,0.001990075923103296,0.08076374427917098,252499.60853012465,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1741,1.3004633144588562,0.0010632431342660897,0.04436413033999299,884575.3358422675,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1841,1.2989356229595677,0.0025909346335546424,0.11116891080209763,148965.976315866,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
1946,1.316150350589838,0.014623792996715679,0.6451065461259856,4676.0585262403065,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2057,1.3229953248547657,0.021468767261643373,0.9736979457871386,2169.630533650912,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
