Epsilon,N,VaR_prediction,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
1.785992e-03,286966,1.299787,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.670211e-03,303338,1.299902,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
8.008886e-04,320644,1.300772,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.013207e-04,338938,1.300871,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.131533e-05,358275,1.301604,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.160552e-04,378715,1.301789,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
9.935777e-04,400322,1.300579,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.944214e-03,423161,1.298628,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.896878e-04,447303,1.300883,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.635534e-04,472823,1.302236,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
9.439699e-04,499798,1.302517,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.707236e-04,528313,1.302143,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.864014e-04,558454,1.301759,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.227514e-04,590315,1.301450,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
8.517615e-05,623994,1.301487,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.920110e-05,659594,1.301642,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
8.750572e-04,697225,1.302448,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.745538e-04,737004,1.302347,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.581816e-03,779051,1.299991,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.100464e-03,823498,1.302673,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.304470e-04,870480,1.301242,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.238229e-03,920143,1.302811,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
