method,dist,queries,epsilon,p_hat,true_p,error
classical,beta,109749,,0.04439220402919389,0.04441242758762812,2.0223558434229183e-05
classical,beta,123284,,0.044206871937964375,0.04441242758762812,0.00020555564966374257
classical,beta,138488,,0.04364999133498931,0.04441242758762812,0.000762436252638804
classical,beta,155567,,0.04437316397436474,0.04441242758762812,3.9263613263375297e-05
classical,beta,174752,,0.043656152719282186,0.04441242758762812,0.0007562748683459311
classical,beta,196304,,0.04478258211753199,0.04441242758762812,0.00037015452990387526
classical,beta,220513,,0.0443057778906459,0.04441242758762812,0.00010664969698221533
classical,beta,247707,,0.044181230243796096,0.04441242758762812,0.00023119734383202084
classical,beta,278255,,0.04407108587446767,0.04441242758762812,0.0003413417131604493
classical,beta,312571,,0.04518973289268678,0.04441242758762812,0.0007773053050586648
classical,beta,351119,,0.0446543764364788,0.04441242758762812,0.00024194884885068296
classical,beta,394420,,0.04448303838547741,0.04441242758762812,7.06107978492923e-05
classical,beta,443062,,0.04483571148056028,0.04441242758762812,0.00042328389293216223
classical,beta,497702,,0.04440408115699756,0.04441242758762812,8.346430630558344e-06
classical,beta,559081,,0.04446046279519426,0.04441242758762812,4.8035207566139715e-05
classical,beta,628029,,0.04413808916467233,0.04441242758762812,0.0002743384229557874
classical,beta,705480,,0.044140159891137946,0.04441242758762812,0.00027226769649017074
classical,beta,792482,,0.04461552439045934,0.04441242758762812,0.00020309680283122494
classical,beta,890215,,0.044453306223777404,0.04441242758762812,4.087863614928716e-05
classical,beta,1000000,,0.044003,0.04441242758762812,0.0004094275876281167
classical,exponential,10,,0.0,0.046254824938484214,0.046254824938484214
classical,exponential,11,,0.09090909090909091,0.046254824938484214,0.0446542659706067
classical,exponential,12,,0.08333333333333333,0.046254824938484214,0.037078508394849115
classical,exponential,14,,0.0,0.046254824938484214,0.046254824938484214
classical,exponential,15,,0.0,0.046254824938484214,0.046254824938484214
classical,exponential,17,,0.058823529411764705,0.046254824938484214,0.012568704473280491
classical,exponential,20,,0.05,0.046254824938484214,0.003745175061515789
classical,exponential,22,,0.045454545454545456,0.046254824938484214,0.0008002794839387581
classical,exponential,25,,0.08,0.046254824938484214,0.03374517506151579
classical,exponential,28,,0.03571428571428571,0.046254824938484214,0.010540539224198502
classical,exponential,31,,0.06451612903225806,0.046254824938484214,0.01826130409377385
classical,exponential,35,,0.0,0.046254824938484214,0.046254824938484214
classical,exponential,40,,0.1,0.046254824938484214,0.05374517506151579
classical,exponential,45,,0.06666666666666667,0.046254824938484214,0.020411841728182452
classical,exponential,50,,0.04,0.046254824938484214,0.006254824938484213
classical,exponential,57,,0.05263157894736842,0.046254824938484214,0.006376754008884204
classical,exponential,64,,0.125,0.046254824938484214,0.07874517506151579
classical,exponential,72,,0.05555555555555555,0.046254824938484214,0.009300730617071339
classical,exponential,81,,0.1111111111111111,0.046254824938484214,0.0648562861726269
classical,exponential,91,,0.08791208791208792,0.046254824938484214,0.041657262973603705
classical,exponential,102,,0.049019607843137254,0.046254824938484214,0.0027647829046530403
classical,exponential,114,,0.017543859649122806,0.046254824938484214,0.028710965289361408
classical,exponential,129,,0.015503875968992248,0.046254824938484214,0.030750948969491966
classical,exponential,145,,0.06896551724137931,0.046254824938484214,0.022710692302895095
classical,exponential,162,,0.043209876543209874,0.046254824938484214,0.0030449483952743397
classical,exponential,183,,0.04918032786885246,0.046254824938484214,0.002925502930368244
classical,exponential,205,,0.01951219512195122,0.046254824938484214,0.026742629816532994
classical,exponential,231,,0.05194805194805195,0.046254824938484214,0.005693227009567738
classical,exponential,259,,0.04247104247104247,0.046254824938484214,0.0037837824674417445
