method,dist,var_alpha,queries,epsilon,alpha_fail,p_hat,true_p,error
classical,normal,0.05,14649,,,0.048330944091746875,0.04943796937981328,0.0011070252880664086
classical,normal,0.05,15702,,,0.04833779136415743,0.04943796937981328,0.0011001780156558519
classical,normal,0.05,16831,,,0.04996732220307765,0.04943796937981328,0.0005293528232643702
classical,normal,0.05,18041,,,0.04877778393658888,0.04943796937981328,0.0006601854432244023
classical,normal,0.05,19338,,,0.04809183990071362,0.04943796937981328,0.0013461294790996642
classical,normal,0.05,20729,,,0.04756621158763086,0.04943796937981328,0.0018717577921824255
classical,normal,0.05,22219,,,0.04856204149601692,0.04943796937981328,0.000875927883796361
classical,normal,0.05,23816,,,0.05156197514276117,0.04943796937981328,0.0021240057629478837
classical,normal,0.05,25529,,,0.050334913235927765,0.04943796937981328,0.0008969438561144821
classical,normal,0.05,27364,,,0.05032159041075866,0.04943796937981328,0.0008836210309453793
classical,normal,0.05,29331,,,0.04967440591865262,0.04943796937981328,0.00023643653883933385
classical,normal,0.05,31440,,,0.05022264631043257,0.04943796937981328,0.000784676930619288
classical,normal,0.05,33700,,,0.04943620178041543,0.04943796937981328,1.7675993978505389e-06
classical,normal,0.05,36123,,,0.04822412313484484,0.04943796937981328,0.001213846244968446
classical,normal,0.05,38720,,,0.049974173553719005,0.04943796937981328,0.0005362041739057216
classical,normal,0.05,41504,,,0.04799537393986122,0.04943796937981328,0.0014425954399520657
classical,normal,0.05,44487,,,0.04902555802818801,0.04943796937981328,0.000412411351625272
classical,normal,0.05,47686,,,0.04890324204168939,0.04943796937981328,0.0005347273381238957
classical,normal,0.05,51114,,,0.050455843800133036,0.04943796937981328,0.0010178744203197532
classical,normal,0.05,54789,,,0.0489331800178868,0.04943796937981328,0.0005047893619264804
classical,normal,0.05,58727,,,0.04858072096310045,0.04943796937981328,0.0008572484167128358
classical,normal,0.05,62949,,,0.04848369314842174,0.04943796937981328,0.0009542762313915418
classical,normal,0.05,67475,,,0.04981104112634309,0.04943796937981328,0.00037307174652980585
classical,normal,0.05,72326,,,0.04872383375273069,0.04943796937981328,0.0007141356270825919
classical,normal,0.05,77525,,,0.050435343437600776,0.04943796937981328,0.0009973740577874923
classical,normal,0.05,83099,,,0.04852043947580597,0.04943796937981328,0.0009175299040073137
classical,normal,0.05,89073,,,0.049184376859429904,0.04943796937981328,0.00025359252038337915
classical,normal,0.05,95477,,,0.048692355226913286,0.04943796937981328,0.0007456141528999968
classical,normal,0.05,102341,,,0.049247124808239125,0.04943796937981328,0.00019084457157415857
classical,normal,0.05,109698,,,0.04906197013619209,0.04943796937981328,0.0003759992436211945
classical,normal,0.05,117584,,,0.04977718056878487,0.04943796937981328,0.00033921118897158736
classical,normal,0.05,126038,,,0.049723099382725844,0.04943796937981328,0.0002851300029125606
classical,normal,0.05,135099,,,0.04870502372334362,0.04943796937981328,0.0007329456564696621
classical,normal,0.05,144811,,,0.04960949099170643,0.04943796937981328,0.00017152161189314813
classical,normal,0.05,155222,,,0.04855626135470487,0.04943796937981328,0.0008817080251084103
classical,normal,0.05,166381,,,0.04929649419104345,0.04943796937981328,0.00014147518876983511
classical,normal,0.05,178343,,,0.04991505133366603,0.04943796937981328,0.00047708195385274405
classical,normal,0.05,191164,,,0.050349438178736584,0.04943796937981328,0.0009114687989233011
classical,normal,0.05,204907,,,0.049817722186162504,0.04943796937981328,0.0003797528063492206
classical,normal,0.05,219638,,,0.049668090221182126,0.04943796937981328,0.00023012084136884298
classical,normal,0.05,235428,,,0.049140289175459165,0.04943796937981328,0.0002976802043541185
classical,normal,0.05,252353,,,0.05020744750409149,0.04943796937981328,0.0007694781242782098
classical,normal,0.05,270495,,,0.04956468696279044,0.04943796937981328,0.00012671758297715802
classical,normal,0.05,289942,,,0.05005483855391768,0.04943796937981328,0.0006168691741043966
classical,normal,0.05,310786,,,0.0494777757041823,0.04943796937981328,3.9806324369014157e-05
classical,normal,0.05,333129,,,0.04898702904880692,0.04943796937981328,0.00045094033100636505
classical,normal,0.05,357078,,,0.04929735239919569,0.04943796937981328,0.00014061698061759026
classical,normal,0.05,382749,,,0.04927249973220048,0.04943796937981328,0.00016546964761280508
classical,normal,0.05,410265,,,0.04894885013345033,0.04943796937981328,0.000489119246362954
classical,normal,0.05,439760,,,0.04972712388575587,0.04943796937981328,0.00028915450594258624
classical,normal,0.05,471375,,,0.049470167064439144,0.04943796937981328,3.2197684625860645e-05
classical,normal,0.05,505263,,,0.049704807199418916,0.04943796937981328,0.0002668378196056323
classical,normal,0.05,541587,,,0.04967622930387915,0.04943796937981328,0.00023825992406587004
classical,normal,0.05,580522,,,0.04903690127161417,0.04943796937981328,0.0004010681081991138
classical,normal,0.05,622257,,,0.04918707222257042,0.04943796937981328,0.0002508971572428645
classical,normal,0.05,666991,,,0.049571883278784874,0.04943796937981328,0.000133913898971591
classical,normal,0.05,714942,,,0.0494655510516937,0.04943796937981328,2.75816718804181e-05
classical,normal,0.05,766341,,,0.049167407198623066,0.04943796937981328,0.0002705621811902176
classical,normal,0.05,821434,,,0.04963758500378606,0.04943796937981328,0.00019961562397277643
classical,normal,0.05,880488,,,0.049199989096955325,0.04943796937981328,0.00023798028285795803
classical,normal,0.05,943787,,,0.04944124044938106,0.04943796937981328,3.2710695677742874e-06
classical,normal,0.05,1011637,,,0.04966010535399555,0.04943796937981328,0.00022213597418226788
classical,normal,0.05,1084365,,,0.04907019315451901,0.04943796937981328,0.0003677762252942765
classical,normal,0.05,1162322,,,0.04927808300969955,0.04943796937981328,0.00015988637011373624
classical,normal,0.05,1245883,,,0.04945167403359706,0.04943796937981328,1.3704653783773446e-05
classical,normal,0.05,1335451,,,0.049406530078602656,0.04943796937981328,3.1439301210627046e-05
classical,normal,0.05,1431458,,,0.04952153678277672,0.04943796937981328,8.356740296344006e-05
classical,normal,0.05,1534368,,,0.04917594736073745,0.04943796937981328,0.00026202201907583184
classical,normal,0.05,1644676,,,0.049845075869046546,0.04943796937981328,0.00040710648923326237
classical,normal,0.05,1762914,,,0.04949192076300943,0.04943796937981328,5.395138319614495e-05
classical,normal,0.05,1889652,,,0.04963241909092256,0.04943796937981328,0.00019444971110927495
classical,normal,0.05,2025501,,,0.04931520646003137,0.04943796937981328,0.00012276291978191578
classical,normal,0.05,2171117,,,0.04942064384369889,0.04943796937981328,1.7325536114394524e-05
classical,normal,0.05,2327202,,,0.04931716284190199,0.04943796937981328,0.00012080653791129298
classical,normal,0.05,2494508,,,0.04958292376693119,0.04943796937981328,0.00014495438711790987
classical,normal,0.05,2673841,,,0.0493851354661702,0.04943796937981328,5.283391364307999e-05
