sample_size,run,var_estimate,abs_error
316,19,0.49737104122370723,0.009164391847158782
421,0,0.5003860321828905,0.0061494008879755535
421,1,0.48931863453589103,0.017216798534974986
421,2,0.49592785886112606,0.010607574209739956
421,3,0.5238028745041585,0.017267441433292507
421,4,0.5203610356644758,0.013825602593609765
421,5,0.5086316430540915,0.002096209983225461
421,6,0.5198990973197032,0.01336366424883717
421,7,0.48760246194662055,0.018932971124245468
421,8,0.49506065006909933,0.011474783001766686
421,9,0.5028539578183816,0.003681475252484412
421,10,0.5085515631196996,0.0020161300488336087
421,11,0.512132848052239,0.005597414981373006
421,12,0.5149013944595828,0.008365961388716814
421,13,0.5047541975782447,0.0017812354926213247
421,14,0.49431933626918856,0.012216096801677456
421,15,0.508532287728386,0.0019968546575199753
421,16,0.5335368515148707,0.02700141844400472
421,17,0.5143673955715585,0.007831962500692513
421,18,0.4988780105292753,0.0076574225415907415
421,19,0.5352684187047764,0.028732985633910357
562,0,0.5008749231995628,0.0056605098713031765
562,1,0.5001036257816034,0.0064318072892626255
562,2,0.5211626952728733,0.014627262202007274
562,3,0.5063837761787923,0.00015165689207374822
562,4,0.5280614329340675,0.021525999863201473
562,5,0.5066473514871199,0.00011191841625390886
562,6,0.5131036726049993,0.006568239534133324
562,7,0.5117869956572604,0.005251562586394365
562,8,0.5090716978855332,0.0025362648146671773
562,9,0.5105493584362714,0.004013925365405346
562,10,0.5227617995055195,0.016226366434653472
562,11,0.5019557909789124,0.004579642091953606
562,12,0.5079976721155256,0.0014622390446595857
562,13,0.5115073463348621,0.004971913263996042
562,14,0.503000124729268,0.003535308341597987
562,15,0.5203979735006614,0.0138625404297954
562,16,0.5182164976625754,0.011681064591709367
562,17,0.5157538450724704,0.009218412001604337
562,18,0.5263120258950577,0.01977659282419164
562,19,0.5143683834169545,0.007832950346088441
749,0,0.506224549781346,0.0003108832895200031
749,1,0.5040617872327541,0.0024736458381119375
749,2,0.5010790009951993,0.005456432075666706
749,3,0.5152719445433551,0.008736511472489106
749,4,0.5194880746507209,0.012952641579854873
749,5,0.5202453237996042,0.013709890728738183
749,6,0.49782536940951383,0.008710063661352185
749,7,0.49939013260356263,0.007145300467303384
749,8,0.5048788018895488,0.001656631181317203
749,9,0.5021080193420052,0.004427413728860796
749,10,0.49817893406888547,0.008356499001980544
749,11,0.5133659862897878,0.006830553218921787
749,12,0.5074908817474348,0.0009554486765688264
749,13,0.5092206323172429,0.0026851992463768903
